location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error,event_significant,bust,bust_type,month,season,control_vs_ensemble,relative_spread,ensemble_range_ratio,forecast_intensity
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 09:00:00,30,30,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 15:00:00,36,36,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 21:00:00,42,42,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 03:00:00,48,48,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0052452087402343,-0.0052452087402343,-0.0052452087402343,0.0052452087402343,0.0052452087402343,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 09:00:00,54,54,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 15:00:00,60,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-21 21:00:00,66,66,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 03:00:00,72,72,75,0.0,0.0,0.0,0.0,0.0,0.0,0.026702880859375,-0.026702880859375,-0.026702880859375,0.026702880859375,0.026702880859375,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 09:00:00,78,78,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 15:00:00,84,84,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-22 21:00:00,90,90,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 03:00:00,96,96,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,-0.0069141387939453,-0.0069141387939453,0.0069141387939453,0.0069141387939453,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 09:00:00,102,102,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 15:00:00,108,108,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-23 21:00:00,114,114,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 03:00:00,120,120,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 09:00:00,126,126,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 15:00:00,132,132,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-24 21:00:00,138,138,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 03:00:00,144,144,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0004768371582031,-0.0004768371582031,-0.0004768371582031,0.0004768371582031,0.0004768371582031,False,0,normal,1,winter,0.0,0.0,0.0,0.0
