location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error
Chennai,13.0827,80.2707,2000-01-30,2000-01-30 21:00:00,18,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-31 03:00:00,24,24,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0009536743164062,-0.0009536743164062,-0.0009536743164062,0.0009536743164062,0.0009536743164062
Chennai,13.0827,80.2707,2000-01-30,2000-01-31 09:00:00,30,30,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-31 15:00:00,36,36,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-01-31 21:00:00,42,42,45,0.0,0.004,0.0,0.0,0.02,0.02,0.0,0.0,0.004,0.0,0.004
Chennai,13.0827,80.2707,2000-01-30,2000-02-01 03:00:00,48,48,51,0.0,0.038,0.0,0.0,0.18,0.18,0.0,0.0,0.038,0.0,0.038
Chennai,13.0827,80.2707,2000-01-30,2000-02-01 09:00:00,54,54,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-02-01 15:00:00,60,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-30,2000-02-01 21:00:00,66,66,69,0.0,0.01,0.0,0.0,0.05,0.05,0.0,0.0,0.01,0.0,0.01
Chennai,13.0827,80.2707,2000-01-30,2000-02-02 03:00:00,72,72,75,0.0,0.06,0.0,0.0,0.3,0.3,0.0,0.0,0.06,0.0,0.06
Chennai,13.0827,80.2707,2000-01-30,2000-02-02 09:00:00,78,78,81,0.0,0.008,0.0,0.0,0.02,0.02,0.0,0.0,0.008,0.0,0.008
Chennai,13.0827,80.2707,2000-01-30,2000-02-02 15:00:00,84,84,87,0.0,0.01,0.0,0.0,0.05,0.05,0.0,0.0,0.01,0.0,0.01
